M_eV,omega_s,delta_phi_rad
0.01,285851417968446.56,18.815082120365105
0.01,292526633743664.75,19.254452804178715
0.01,299357729472049.0,19.704083692893818
0.01,306348345269608.4,20.164214383298578
0.01,313502206256511.25,20.63509006725657
0.01,320823124542107.4,21.11696166236329
0.01,328315001256305.4,21.61008594565387
0.01,335981828628378.75,22.11472569043256
0.01,343827692114331.4,22.631149806298474
0.01,351856772573926.6,23.15963348244025
0.01,360073348498562.0,23.700458334277418
0.01,368481798291167.6,24.253912553526053
0.01,377086602599345.1,24.82029106176876
0.01,385892346702989.9,25.39989566761082
0.01,394903722957669.3,25.9930352275063
0.01,404125533295059.25,26.600025810339705
0.01,413562691781769.75,27.221190865851025
0.01,423220227237928.0,27.856861396993924
0.01,433103285916900.1,28.507376136318307
0.01,443217134247608.5,29.173081726472844
0.01,453567161640870.25,29.85433290492158
0.01,464158883361277.25,30.55149269297452
0.01,474997943466142.2,31.2649325892325
0.01,486090117813064.0,31.995032767548842
0.01,497441317137746.2,32.742182279614944
0.01,509057590203668.6,33.5067792622755
0.01,520945127025321.1,34.28923114968557
0.01,533110262166703.25,35.08995489042178
0.01,545559478116851.5,35.90937716966356
0.01,558299408744191.44,36.747934636562725
0.01,571336842831556.8,37.60607413692267
0.01,584678727693757.8,38.484252951311056
0.01,598332172879627.0,39.382939038732836
0.01,612304453960519.0,40.30261128599392
0.01,626603016407265.6,41.24375976288691
0.01,641235479557691.6,42.20688598333781
0.01,656209640676755.4,43.192503172649296
0.01,671533479111513.5,44.20113654098546
0.01,687215160543113.5,45.23332356324304
0.01,703263041338065.8,46.28961426545738
0.01,719685673001152.9,47.370571517898235
0.01,736491806732297.2,48.4767713350082
0.01,753690398089854.1,49.60880318234629
0.01,771290611762799.2,50.76727029069903
0.01,789301826454356.6,51.95278997752663
0.01,807733639879670.2,53.16599397591577
0.01,826595873880179.6,54.40752877121386
0.01,845898579657428.2,55.67805594552464
0.01,865652043129091.9,56.97825253024828
0.01,885866790410083.1,58.30881136685429
0.01,906553593421635.8,59.67044147607818
0.01,927723475631405.9,61.06386843574172
0.01,949387717927582.0,62.4898347673939
0.01,971557864630184.8,63.949100331981924
0.01,994245729642743.9,65.44244273476188
0.01,1017463402747608.4,66.97065773966362
0.01,1041223256048306.5,68.53455969333456
0.01,1065537950562306.4,70.13498195908312
0.01,1090420442967752.8,71.77277736095694
0.01,1115883992507748.1,73.44881863819099
0.01,1141942168055864.8,75.16399891026795
0.01,1168608855346649.8,76.91923215283873
0.01,1195898264374976.8,78.71545368475671
0.01,1223824936968189.8,80.55362066648513
0.01,1252403754535069.2,82.43471261014352
0.01,1281649945995759.8,84.35973190146484
0.01,1311579095896850.2,86.32970433393986
0.01,1342207152716012.0,88.34567965543835
0.01,1373550437360512.2,90.40873212759138
0.01,1405625651864213.5,92.51996109823821
0.01,1438449888287665.8,94.6804915872411
0.01,1472040637826004.2,96.89147488597784
0.01,1506415800129594.2,99.15408917083795
0.01,1541593692842273.2,101.46954013104101
