M_eV,dt_s,visibility
0.01,1.9987196386572526e-11,1.3261285157770245e-132
0.01,2.06913808111479e-11,2.9944019699835964e-137
0.01,2.1420374903583833e-11,4.638077999943212e-142
0.01,2.2175052752539296e-11,4.862976139283594e-147
0.01,2.295631924236905e-11,3.404331623619441e-152
0.01,2.3765111138110777e-11,1.5687232918635958e-157
0.01,2.4602398208697774e-11,4.6886408682123986e-163
0.01,2.5469184389745398e-11,8.951785525818966e-169
0.01,2.6366508987303553e-11,1.0746746492251151e-174
0.01,2.7295447924020018e-11,7.980864489018586e-181
0.01,2.825711502920833e-11,3.6047845628634477e-187
0.01,2.925266337436636e-11,9.730990817554151e-194
0.01,3.0283286655749455e-11,1.5417255168392058e-200
0.01,3.135022062565112e-11,1.4069403882907297e-207
0.01,3.2454744574113254e-11,7.253073781854964e-215
0.01,3.359818286283788e-11,2.0701794438471006e-222
0.01,3.478190651314119e-11,3.203961272926561e-230
0.01,3.60073348498562e-11,2.6314495860499308e-238
0.01,3.727593720314938e-11,1.1215963843156778e-246
0.01,3.858923467029899e-11,2.42423966930095e-255
0.01,3.9948801939541784e-11,2.594310605036448e-264
0.01,4.1356269178176977e-11,1.340972447261006e-273
0.01,4.281332398719396e-11,3.263129077527413e-283
0.01,4.432171342476086e-11,3.640306169946572e-293
0.01,4.58832461010084e-11,1.8113294539810806e-303
0.01,4.749979434661422e-11,3.9071406967e-314
0.01,4.9173296457790055e-11,0.0
0.01,5.0905759020366863e-11,0.0
0.01,5.269925931575656e-11,0.0
0.01,5.4555947811685145e-11,0.0
0.01,5.647805074067546e-11,0.0
0.01,5.846787276937578e-11,0.0
0.01,6.052779976193355e-11,0.0
0.01,6.266030164072656e-11,0.0
0.01,6.486793534788508e-11,0.0
0.01,6.715334791115134e-11,0.0
0.01,6.95192796177559e-11,0.0
0.01,7.196856730011528e-11,0.0
0.01,7.450414773728916e-11,0.0
0.01,7.712906117627992e-11,0.0
0.01,7.984645497739078e-11,0.0
0.01,8.265958738801797e-11,0.0
0.01,8.55718314494002e-11,0.0
0.01,8.858667904100796e-11,0.0
0.01,9.17077450674293e-11,0.0
0.01,9.49387717927582e-11,0.0
0.01,9.82836333277001e-11,0.0
0.01,1.0174634027476084e-10,0.0
0.01,1.0533104453709338e-10,0.0
0.01,1.0904204429677526e-10,0.0
0.01,1.1288378916846884e-10,0.0
0.01,1.1686088553466498e-10,0.0
0.01,1.2097810206889038e-10,0.0
0.01,1.2524037545350693e-10,0.0
0.01,1.296528162989669e-10,0.0
0.01,1.342207152716012e-10,0.0
